journal crystal growth, 2
american journal physics, 2
entropy, 2
shock waves, 3
aip advances, 2
international journal thermophysics, 3
experiments fluids, 1
physica e low-dimensional systems nanostructures, 2
journal nonlinear optical physics materials, 3
comptes rendus physique, 1
optics laser technology, 2
brazilian journal physics, 3
isprs annals photogrammetry remote sensing spatial information sciences, 0
progress surface science, 1
journal applied remote sensing, 2
astro-particle physics, 2
computer methods applied mechanics engineering, 1
ieee sensors journal, 1
marine ecology, 1
earth surface processes landforms, 1
nature nanotechnology, 1
journal biomedical optics, 1
computers geosciences, 1
journal lightwave technology, 1
geo-marine letters, 1
optical engineering, 3
molecular physics, 2
applied geochemistry, 2
journal atmospheric solar-terrestrial physics, 2
marine geophysical research, 2
journal plasma physics, 2
experimental heat transfer, 1
results physics, 2
journal theoretical applied physics, 3
waves random complex media, 2
current applied physics, 2
proceedings international association hydrological sciences, 0
laser & photonics reviews, 1
opto-electronics review, 3
atmospheric chemistry & physics discussions, 4
atmospheric science letters, 2
quarterly journal royal meteorological society, 1
bulletin american meteorological society, 1
journal geology, 1
monthly weather review, 1
journal statistical physics, 2
journal electrochemical society, 1
climate dynamics, 1
galaxies, 3
physics chemistry earth b, 2
nature photonics, 1
journal palaeolimnology, 2
e3s web conferences, 0
geophysical journal international, 1
earth planetary science letters, 1
cryosphere discussions, 3
journal atmospheric terrestrial physics, 2
journal applied meteorology climatology, 2
acta physica sinica, 3
optik, 2
atmospheric environment, 2
revista mexicana de fisica, 4
journal electronic imaging, 3
radiation effects defects solids, 3
diamond related materials, 2
geoscientific model development, 1
journal turbulence, 1
quaternary science reviews, 1
bulletin russian academy sciences physics, 3
new journal physics, 1
zeitschrift angewandte mathematik und physik, 1
journal geometry physics, 2
letters mathematical physics, 2
nonlinear processes geophysics, 2
international journal biometeorology, 2
